,UniProt,visit_month,NPX
280,P00746,72,100241.54761904762
281,P00746,84,99945.52666666666
282,P00746,96,110970.85
283,P00746,108,131566.925
284,P00747,0,346922.59793814435
285,P00747,3,336836.0
286,P00747,6,336427.0282258064
287,P00747,12,343275.2838888889
288,P00747,18,344757.5
289,P00747,24,345418.6028901734
290,P00747,30,510768.0
291,P00747,36,345258.3452702703
292,P00747,48,340672.5666666667
293,P00747,54,339061.5
294,P00747,60,333759.04404761904
295,P00747,72,331346.4761904762
296,P00747,84,333071.43333333335
297,P00747,96,295797.0
298,P00747,108,328302.5
299,P00748,0,77201.44242268041
300,P00748,3,64836.53333333333
301,P00748,6,73718.86879032258
302,P00748,12,76625.0884269663
303,P00748,18,76785.25
304,P00748,24,77764.77695906433
305,P00748,30,88567.6
306,P00748,36,75167.85328767123
307,P00748,48,78685.3169117647
308,P00748,54,92611.45
309,P00748,60,71163.9163095238
310,P00748,72,63369.75714285714
311,P00748,84,65994.95862068966
312,P00748,96,93403.0
313,P00748,108,75649.375
314,P00751,0,509363.8917525773
315,P00751,3,471199.3333333333
316,P00751,6,502767.8548387097
317,P00751,12,498250.6777777778
318,P00751,18,530203.0
319,P00751,24,506635.0289017341
320,P00751,30,678610.0
321,P00751,36,514864.0
322,P00751,48,511563.44202898553
323,P00751,54,430994.0
324,P00751,60,514929.14285714284
325,P00751,72,460620.2380952381
326,P00751,84,484953.8333333333
327,P00751,96,428547.0
328,P00751,108,476333.25
329,P01008,0,2494741.7010309277
330,P01008,3,2175290.0
331,P01008,6,2473324.419354839
332,P01008,12,2483649.0888888887
333,P01008,18,2592190.0
334,P01008,24,2519921.5606936417
335,P01008,30,2745260.0
336,P01008,36,2522351.4527027025
337,P01008,48,2486720.231884058
338,P01008,54,2877430.0
339,P01008,60,2504157.976190476
340,P01008,72,2321870.8095238097
341,P01008,84,2331539.6666666665
342,P01008,96,2525945.0
343,P01008,108,2505032.5
344,P01009,0,12261808.81443299
345,P01009,3,10788366.666666666
346,P01009,6,11912637.58064516
347,P01009,12,12216002.666666666
348,P01009,18,12825001.25
349,P01009,24,12379469.768786127
350,P01009,30,12828400.0
351,P01009,36,12467344.744966444
352,P01009,48,12651345.289855072
353,P01009,54,20812050.0
354,P01009,60,12604520.595238095
355,P01009,72,11288689.047619049
356,P01009,84,12084859.0
357,P01009,96,12499700.0
358,P01009,108,13470625.0
359,P01011,0,1405576.231958763
360,P01011,3,1196950.6666666667
361,P01011,6,1461807.0564516129
362,P01011,12,1411224.177777778
363,P01011,18,1494262.5
364,P01011,24,1445564.6300578034
365,P01011,30,1430670.0
366,P01011,36,1492237.111409396
367,P01011,48,1480809.3260869565
368,P01011,54,1343625.0
369,P01011,60,1494635.0952380951
370,P01011,72,1419832.142857143
371,P01011,84,1447603.3333333333
372,P01011,96,1333815.0
373,P01011,108,1486377.5
374,P01019,0,1564968.737113402
375,P01019,3,1456613.6666666667
376,P01019,6,1589692.6693548388
377,P01019,12,1531797.8
378,P01019,18,1629867.5
379,P01019,24,1569655.0578034683
380,P01019,30,1067240.0
381,P01019,36,1610259.304054054
382,P01019,48,1611754.347826087
383,P01019,54,1295025.0
384,P01019,60,1559060.7023809524
385,P01019,72,1387911.9047619049
386,P01019,84,1484928.5
387,P01019,96,1712380.0
388,P01019,108,1587715.0
389,P01023,0,1403600.5360824743
390,P01023,3,1461920.0
391,P01023,6,1442732.4193548388
392,P01023,12,1365419.5444444444
393,P01023,18,1527966.25
394,P01023,24,1416507.520231214
395,P01023,30,1620320.0
396,P01023,36,1408177.0040268456
397,P01023,48,1431903.3043478262
398,P01023,54,1040095.0
399,P01023,60,1400413.3095238095
400,P01023,72,1336648.619047619
401,P01023,84,1387695.1333333333
402,P01023,96,1362355.0
403,P01023,108,1405130.0
404,P01024,0,3566839.7422680412
405,P01024,3,3099306.6666666665
406,P01024,6,3532659.0483870967
407,P01024,12,3486194.888888889
408,P01024,18,3579588.75
409,P01024,24,3592166.705202312
410,P01024,30,4059900.0
411,P01024,36,3561123.4268456376
412,P01024,48,3573508.9855072466
413,P01024,54,2904535.0
414,P01024,60,3703095.714285714
415,P01024,72,3516666.6666666665
416,P01024,84,3555237.0
417,P01024,96,3592915.0
418,P01024,108,3417680.0
419,P01031,0,10918.820780141843
420,P01031,3,9942.835
421,P01031,6,10816.27311111111
422,P01031,12,10913.436666666666
423,P01031,18,12785.386666666667
424,P01031,24,11049.547438016529
425,P01031,30,16505.9
426,P01031,36,11108.231203703703
427,P01031,48,11068.909797979799
428,P01031,54,9318.82
429,P01031,60,10877.729206349206
430,P01031,72,9354.273157894737
431,P01031,84,10708.288888888888
432,P01031,96,10810.2
433,P01031,108,12657.4
434,P01033,0,81060.71718749999
435,P01033,3,64689.76666666666
436,P01033,6,80680.58699186992
437,P01033,12,80153.05397727272
438,P01033,18,81675.1875
439,P01033,24,81740.20175438597
440,P01033,30,111448.0
441,P01033,36,85010.96780821918
442,P01033,48,83754.71194029851
443,P01033,54,84309.85
444,P01033,60,79811.73690476191
445,P01033,72,78676.16666666667
446,P01033,84,80569.2172413793
447,P01033,96,88691.75
448,P01033,108,77382.85
449,P01034,0,22166031.243523315
450,P01034,3,23046200.0
451,P01034,6,21562820.322580647
452,P01034,12,21005702.888888888
453,P01034,18,22946367.14285714
454,P01034,24,22527693.699421965
455,P01034,30,21559800.0
456,P01034,36,21941988.832214765
457,P01034,48,21742752.68115942
458,P01034,54,25119150.0
459,P01034,60,20979779.51807229
460,P01034,72,20598302.38095238
461,P01034,84,20590233.333333332
462,P01034,96,25019750.0
463,P01034,108,25828550.0
464,P01042,0,1018009.087628866
465,P01042,3,1179136.6666666667
466,P01042,6,993269.9193548387
467,P01042,12,1004826.5777777778
468,P01042,18,980783.25
469,P01042,24,995665.5606936417
470,P01042,30,1252830.0
471,P01042,36,989396.1138926174
472,P01042,48,1005457.4202898551
473,P01042,54,1218521.0
474,P01042,60,1057404.7142857143
475,P01042,72,958657.4761904762
476,P01042,84,1008027.9
477,P01042,96,940301.5
478,P01042,108,1082426.0
479,P01344,0,101532.31502590673
480,P01344,3,89540.56666666667
481,P01344,6,98130.8325203252
482,P01344,12,99143.86666666667
483,P01344,18,99383.0375
484,P01344,24,101773.57861271677
485,P01344,30,89021.3
486,P01344,36,101831.70472972974
487,P01344,48,101669.99565217392
488,P01344,54,145269.6
489,P01344,60,96539.8011904762
490,P01344,72,93642.4857142857
491,P01344,84,95051.79000000001
492,P01344,96,104518.05
493,P01344,108,104769.325
494,P01591,0,11676.177985074628
495,P01591,3,28146.933333333334
496,P01591,6,11999.538048780487
497,P01591,12,11189.261652892561
498,P01591,18,11040.782857142856
499,P01591,24,11494.6538
500,P01591,30,15260.8
501,P01591,36,12440.172
502,P01591,48,13026.2428
503,P01591,54,15511.25
504,P01591,60,11392.405925925927
505,P01591,72,10333.613333333335
506,P01591,84,11908.843
507,P01591,96,8053.39
508,P01591,108,8845.0
509,P01594,0,13579.338623188405
510,P01594,3,19374.9
511,P01594,6,12285.973703703703
512,P01594,12,13166.908515625
513,P01594,18,13868.4
514,P01594,24,12903.457966101696
515,P01594,30,15120.7
516,P01594,36,13799.7053
517,P01594,48,13680.315104166666
518,P01594,54,9124.3
519,P01594,60,12915.871929824561
520,P01594,72,12738.146363636362
521,P01594,84,12471.905789473683
522,P01594,108,9235.32
523,P01608,0,14257.009942196533
524,P01608,3,13700.066666666666
525,P01608,6,13783.191592920353
526,P01608,12,13714.058039215686
527,P01608,18,12025.084285714285
528,P01608,24,13934.001721854303
529,P01608,36,13845.013769230769
530,P01608,48,13813.397398373985
531,P01608,54,17943.535
532,P01608,60,12568.48842105263
533,P01608,72,12184.645333333332
534,P01608,84,16810.085
535,P01608,96,16121.55
536,P01608,108,12826.813333333334
537,P01621,0,174294.89742268043
538,P01621,3,158531.9
539,P01621,6,165576.66422764226
540,P01621,12,163787.63333333333
541,P01621,18,148043.25
542,P01621,24,165500.12774566474
543,P01621,30,222128.0
544,P01621,36,159604.91486486484
545,P01621,48,167583.65217391305
546,P01621,54,198300.5
547,P01621,60,156544.4511904762
548,P01621,72,149537.29523809525
549,P01621,84,174388.72666666665
550,P01621,96,187279.5
551,P01621,108,162978.6
552,P01717,0,126973.7350515464
553,P01717,3,101995.09999999999
554,P01717,6,120942.98211382114
555,P01717,12,118622.11388888888
556,P01717,18,104995.3
557,P01717,24,118610.80520231214
558,P01717,30,159728.0
559,P01717,36,119547.525
560,P01717,48,117627.61891304348
561,P01717,54,171172.0
562,P01717,60,110839.5607142857
563,P01717,72,111932.99047619046
564,P01717,84,120627.8
565,P01717,96,160817.5
566,P01717,108,153288.25
567,P01780,0,12946.330769230768
568,P01780,3,13165.1
569,P01780,6,12525.590945945945
570,P01780,12,12625.362173913043
571,P01780,18,10673.138
572,P01780,24,12142.08294117647
573,P01780,30,14399.8
574,P01780,36,12973.62424390244
575,P01780,48,11842.026666666667
576,P01780,54,4650.41
577,P01780,60,11731.527446808512
578,P01780,72,13441.7975
579,P01780,84,10840.089333333333
580,P01780,108,12018.95
581,P01833,0,3854305.1369863013
582,P01833,3,3883223.3333333335
583,P01833,6,3945343.75
584,P01833,12,3934842.32
585,P01833,18,4333305.0
586,P01833,24,4006048.5669491524
587,P01833,30,3584930.0
588,P01833,36,3875807.7592592593
589,P01833,48,3898505.8653846155
590,P01833,54,4025420.0
591,P01833,60,3886018.656716418
592,P01833,72,2903833.3333333335
593,P01833,84,3610805.238095238
594,P01833,96,3604815.0
595,P01833,108,3834777.5
596,P01834,0,2687553.5721649486
597,P01834,3,3560380.0
598,P01834,6,2752097.35483871
599,P01834,12,2681858.85
600,P01834,18,2000963.125
601,P01834,24,2663735.3121387283
602,P01834,30,3315850.0
603,P01834,36,2701566.677852349
604,P01834,48,2671591.4492753623
605,P01834,54,3612715.0
606,P01834,60,2713617.1785714286
607,P01834,72,2327676.1904761903
608,P01834,84,2931564.0
609,P01834,96,2917045.0
610,P01834,108,2656625.0
611,P01857,0,5355157.216494845
612,P01857,3,5535673.333333333
613,P01857,6,5389775.129032258
614,P01857,12,5432089.122905028
615,P01857,18,4726094.285714285
616,P01857,24,5357598.313953488
617,P01857,30,5794420.0
618,P01857,36,5202940.288590604
619,P01857,48,5151079.449275362
620,P01857,54,6121025.0
621,P01857,60,5162145.833333333
622,P01857,72,4703187.619047619
623,P01857,84,5528905.333333333
624,P01857,96,6218085.0
625,P01857,108,5139197.5
626,P01859,0,2186905.6321243523
627,P01859,3,2743120.0
628,P01859,6,2185283.1903225807
629,P01859,12,2181220.1944444445
630,P01859,18,1579760.25
631,P01859,24,2055399.9302325582
632,P01859,30,4608880.0
633,P01859,36,2151767.7181208055
634,P01859,48,2078782.9855072463
635,P01859,54,2750490.0
636,P01859,60,2145517.773809524
637,P01859,72,1953006.0476190476
638,P01859,84,2297772.3333333335
639,P01859,96,3326540.0
640,P01859,108,2713455.0
641,P01860,0,567336.1760416667
642,P01860,3,306560.0
643,P01860,6,553898.2290322582
644,P01860,12,516117.85642458097
645,P01860,18,556688.4625
646,P01860,24,540790.9630057804
647,P01860,30,973218.0
648,P01860,36,540210.0506711409
649,P01860,48,524898.9727941176
650,P01860,54,684014.0
651,P01860,60,513368.2060240964
652,P01860,72,453761.4285714286
653,P01860,84,523467.9
654,P01860,96,1102114.5
655,P01860,108,555213.25
656,P01861,0,72732.79746376812
657,P01861,3,130523.0
658,P01861,6,78743.98423913043
659,P01861,12,85149.8819858156
660,P01861,18,93172.93333333333
661,P01861,24,76954.85488636364
662,P01861,30,29328.7
663,P01861,36,70736.37785714286
664,P01861,48,72336.37693877552
665,P01861,54,187628.0
666,P01861,60,82526.78612903226
667,P01861,72,95523.70588235294
668,P01861,84,87164.42
669,P01861,96,119599.65
670,P01861,108,96329.16666666667
671,P01876,0,2764150.2525773197
672,P01876,3,3850243.3333333335
673,P01876,6,2500176.306451613
674,P01876,12,2493132.7055555554
675,P01876,18,2060776.25
676,P01876,24,2641740.1791907516
677,P01876,30,3545890.0
678,P01876,36,2787149.4852348994
679,P01876,48,2557854.492753623
680,P01876,54,2814765.0
681,P01876,60,2426797.869047619
682,P01876,72,2369790.238095238
683,P01876,84,2556703.0
684,P01876,96,2065705.0
685,P01876,108,1888487.5
686,P01877,0,93489.82494505495
687,P01877,3,98954.03333333333
688,P01877,6,93321.68858333334
689,P01877,12,85564.51094117647
690,P01877,18,88463.26666666666
691,P01877,24,86550.45830188679
692,P01877,30,33915.8
693,P01877,36,84484.67575539568
694,P01877,48,83816.68960317461
695,P01877,54,104805.85
696,P01877,60,76850.55875
697,P01877,72,71179.43333333333
698,P01877,84,81150.28965517241
699,P01877,96,81444.79999999999
700,P01877,108,71760.025
701,P02452,0,43287.36747311828
702,P02452,3,45994.666666666664
703,P02452,6,42437.59603305785
704,P02452,12,40625.715988372096
705,P02452,18,45926.625
706,P02452,24,42087.454545454544
707,P02452,30,46223.1
708,P02452,36,43261.955586206896
709,P02452,48,42872.900984848486
710,P02452,54,77130.4
711,P02452,60,40250.604146341466
712,P02452,72,39183.94714285714
713,P02452,84,45231.01379310345
714,P02452,96,48344.850000000006
715,P02452,108,49345.775
716,P02647,0,11045923.654639175
717,P02647,3,10675920.0
718,P02647,6,11405522.338709677
719,P02647,12,11540389.888888888
720,P02647,18,13979535.0
721,P02647,24,11149243.583815029
722,P02647,30,19302700.0
723,P02647,36,10928510.595704697
724,P02647,48,11390832.246376812
725,P02647,54,15000700.0
726,P02647,60,10851898.92857143
727,P02647,72,10148204.952380951
728,P02647,84,11161030.333333334
729,P02647,96,12977150.0
730,P02647,108,12410455.0
731,P02649,0,10810967.216494845
732,P02649,3,13370520.0
733,P02649,6,11055637.661290323
734,P02649,12,10167575.172222223
735,P02649,18,14001211.25
736,P02649,24,11151929.98265896
737,P02649,30,8797390.0
738,P02649,36,10193016.449664429
739,P02649,48,11072685.289855072
740,P02649,54,10978225.0
741,P02649,60,11017249.285714285
742,P02649,72,9843997.238095239
743,P02649,84,10060332.0
744,P02649,96,8269705.0
745,P02649,108,10492425.0
746,P02652,0,596419.6025773196
747,P02652,3,693606.3333333334
748,P02652,6,574043.6556451613
749,P02652,12,598876.3
750,P02652,18,592410.75
751,P02652,24,566768.2699421966
752,P02652,30,517816.0
753,P02652,36,566521.5858108108
754,P02652,48,557952.3579710146
755,P02652,54,846077.5
756,P02652,60,556547.475
757,P02652,72,497521.90476190473
758,P02652,84,567644.81
759,P02652,96,692566.0
760,P02652,108,515963.25
761,P02655,0,27578.834104477613
762,P02655,3,17884.4
763,P02655,6,27885.50763888889
764,P02655,12,27235.4
765,P02655,18,26522.071428571428
766,P02655,24,26015.212149532712
767,P02655,36,26345.654563106797
768,P02655,48,25119.794945054942
769,P02655,60,26191.997234042556
770,P02655,72,24148.377142857145
771,P02655,84,29791.15263157895
772,P02655,108,42682.9
773,P02656,0,101362.9943298969
774,P02656,3,103932.33333333333
775,P02656,6,98528.1629032258
776,P02656,12,96832.72277777779
777,P02656,18,93171.675
778,P02656,24,96865.10867052023
779,P02656,30,134086.0
780,P02656,36,94235.84054054055
781,P02656,48,96968.23260869565
782,P02656,54,118639.0
783,P02656,60,101337.48571428572
784,P02656,72,100004.1
785,P02656,84,98995.9
786,P02656,96,84975.4
787,P02656,108,118464.2
788,P02671,0,584815.881443299
789,P02671,3,579841.3333333334
790,P02671,6,580079.2983870967
791,P02671,12,594535.3522222223
792,P02671,18,635785.0
793,P02671,24,599068.3757225433
794,P02671,30,1057290.0
795,P02671,36,604793.0743243244
796,P02671,48,633092.1739130435
797,P02671,54,882522.0
798,P02671,60,631444.130952381
799,P02671,72,600623.7761904763
800,P02671,84,716025.7666666667
801,P02671,96,618171.0
802,P02671,108,607339.75
803,P02675,0,550730.3402061856
804,P02675,3,552646.0
805,P02675,6,552254.3951612903
806,P02675,12,548389.0283333333
807,P02675,18,569189.0
808,P02675,24,558072.6138728324
809,P02675,30,1067480.0
810,P02675,36,561572.0337837838
811,P02675,48,589154.3434782609
812,P02675,54,771652.5
813,P02675,60,586946.9833333334
814,P02675,72,612734.1904761905
815,P02675,84,683179.2
816,P02675,96,535444.5
817,P02675,108,659665.75
818,P02679,0,176597.99381443296
819,P02679,3,178977.66666666666
820,P02679,6,176461.90806451614
821,P02679,12,180417.1
822,P02679,18,175403.0625
823,P02679,24,183580.3358381503
824,P02679,30,321442.0
825,P02679,36,182199.51486486485
826,P02679,48,189518.17318840578
827,P02679,54,215257.0
828,P02679,60,196159.6380952381
829,P02679,72,181226.8523809524
830,P02679,84,213845.14333333334
831,P02679,96,188111.5
832,P02679,108,203298.5
833,P02747,0,135103.95824742268
834,P02747,3,130035.66666666667
835,P02747,6,134976.31129032257
836,P02747,12,129630.81277777778
837,P02747,18,145145.5625
838,P02747,24,131024.8405780347
839,P02747,30,142014.0
840,P02747,36,132440.49256756756
841,P02747,48,138051.22408759122
842,P02747,54,141283.5
843,P02747,60,130916.09166666666
844,P02747,72,127205.77619047619
845,P02747,84,135079.47666666665
846,P02747,96,127475.5
847,P02747,108,129817.6
848,P02748,0,111151.45751295338
849,P02748,3,87542.23333333334
850,P02748,6,110418.28387096773
851,P02748,12,109424.44750000001
852,P02748,18,116765.2625
853,P02748,24,112218.44127906975
854,P02748,30,215860.0
855,P02748,36,114016.10340136054
856,P02748,48,113287.71304347826
857,P02748,54,100359.0
858,P02748,60,121138.03333333334
859,P02748,72,109519.90952380953
860,P02748,84,104405.59333333332
861,P02748,96,123052.5
862,P02748,108,113869.65
863,P02749,0,1133375.6030927836
864,P02749,3,1076465.0
865,P02749,6,1103481.3709677418
866,P02749,12,1128962.7722222223
867,P02749,18,1237728.375
868,P02749,24,1141785.994219653
869,P02749,30,1305250.0
870,P02749,36,1138899.9201342282
871,P02749,48,1136630.608695652
872,P02749,54,1612015.0
873,P02749,60,1131315.2023809524
874,P02749,72,1036969.3333333334
875,P02749,84,1121967.4
876,P02749,96,1219180.0
877,P02749,108,1300812.5
878,P02750,0,225427.9
879,P02750,3,177621.0
880,P02750,6,222193.1620967742
881,P02750,12,214066.63944444444
882,P02750,18,239728.5
883,P02750,24,219714.36300578032
884,P02750,30,322071.0
885,P02750,36,227835.99662162163
886,P02750,48,233807.31304347827
887,P02750,54,251784.0
888,P02750,60,234493.98571428572
889,P02750,72,209902.0
890,P02750,84,225192.23333333334
891,P02750,96,215619.5
892,P02750,108,263596.75
893,P02751,0,1574070.0670103093
894,P02751,3,1865083.3333333333
895,P02751,6,1566975.4435483871
896,P02751,12,1528519.138888889
897,P02751,18,1601257.5
898,P02751,24,1583634.3930635839
899,P02751,30,2348180.0
900,P02751,36,1565801.7216107384
901,P02751,48,1599742.0217391304
902,P02751,54,1439205.0
903,P02751,60,1633631.25
904,P02751,72,1640227.7142857143
905,P02751,84,1684584.3333333333
906,P02751,96,1623140.0
907,P02751,108,1643512.5
908,P02753,0,441679.03350515466
909,P02753,3,491679.3333333333
910,P02753,6,440007.8064516129
911,P02753,12,446891.04888888885
912,P02753,18,480887.625
913,P02753,24,443462.85086705204
914,P02753,30,360257.0
915,P02753,36,441666.4324324324
916,P02753,48,434651.72536231886
917,P02753,54,380594.0
918,P02753,60,455376.8773809524
919,P02753,72,416484.61904761905
920,P02753,84,421651.73333333334
921,P02753,96,439343.5
922,P02753,108,487438.0
923,P02760,0,354368.8917525773
924,P02760,3,298499.0
925,P02760,6,339119.9379032258
